,KM1,,KM2,KM3,KM4,KM5,KM6,,KM7,KM8,KM10,KM13,KM16
Belgien,116468,,,74182,,,22092,,408,,266584,276896,
Bosnien-Herzegowina,9065,,,,,,,,,,,,
Bulgarien,,,,25,,,,,,,,,
Dänemark,,,101581,3620669,,,23164857,,150,30,,,
Deutschland,1782406,,3538356,14353148,103159,2691808,5082863,,373,638613,79286,,2881
Estland,8329,,,32720,,,,,,,,,
Finnland,28379,,,13765,,,188727,,,,470672,,
Frankreich,260470,,3703,3474920,280651,160763,,,,329,1159288,,92473
Griechenland,15587,,,,,375,,,,,,,
Grossbritannien,32872,,276986,26049,48870,51040,,,,1495439,290415,,
Irland,8004,,,,,,,,,,,,
Island,489,,,,,,,,,,,,
Italien,386198,,666653,77078,,2610594,,,,298216,5750,,
Kroatien,,,,20552,,,,,,,,,
Litauen,261171,,45824,,,,,,,,,,
Luxemburg,4193,,,,,,,,,,,,
Malta,11603,,,,,,,,,,,,
Niederlande,15795,,82170,1680765,,,86886,,,30,,,
Norwegen,79064,,,1771166,61686,,1277327,,,277052,,,
Österreich,35397,,,1937346,,,1224,,,,,,
Polen,1308,,,,,,49308,,,57715,,,
Portugal,,,,75,,,,,,,,,
Rumänien,11255,,115000,,,,17851447,,,,,,
Schweden,84087,,10000,2437493,,14920,319506,,,9160,771850,,
Serbien,,,,,,,,,,904,,,
Slowakische Republik,5392,,,213499,,,4432449,,,,,,
Slowenien,2295,,,,,,,,,,,,
Spanien,1368,,2010534,384068,,150,562517,,,59885,63398,,
Tschechische Republik,506894,,11125,74572,,10662,,,,35000,,,
Türkei,2400,,,,,,,,,,,,
Ungarn,2890,,,329845,,,,,,12988,,,
Kenia,,,,,,,,,,,109311,,
Südafrika,7520,,,,,,,,,,,,
Bermuda,931,,,,,,,,,,,,
Brasilien,,,,,,31390,,,,,,,
Chile,2800,,,,,,3520,,,,,,
Kanada,117020,,,,,,77983,,,,46960,,
Mexiko,,,,,,,,,,,60658,,
Vereinigte Staaten von Amerika,1981049,,22770,706962,,,,,,395366,3836549,,
Bahrain,,,,,,,,,,,71228,,
"Georgien, Republik",3960,,,,,,,,,,,,
Indonesien,,,,,16218,,,,,,,,
Israel,,,,,,,300,,,,,,
Japan,279480,,,,,,,,,,,,
"Korea, Republik (Südkorea)",,,,21359,,,,,,,,,
Kuwait,12150,,,,,,,,,,,,
Malaysia,,,,,,1180808,,,,,1783862,,
Oman,4200,,133081,1042153,,27828,,,,,,,
Pakistan,,,,,,332068,,,,,,,
Qatar,886,,,,,,,,,,,,
Singapur,,,,3966323,,,,,162661,,,,
Thailand,,,,,,11258,,,,,,,
Vereinigte Arabische Emirate,310411,,,,,,,,,,,,
Australien,,,,2540,,,,,,,,,
Neuseeland,31176,,,,,,,,,,,,
